Latitude,Longitude,Heading,Distance
0.0,0.0,143.0,15.81
0.0,0.0,141.0,19.94
0.0,0.0,140.0,20.91
0.0,0.0,140.0,19.6
0.0,0.0,140.0,21.59
0.0,0.0,140.0,21.27
0.0,0.0,140.0,20.96
0.0,0.0,140.0,21.03
0.0,0.0,136.0,24.23
0.0,0.0,137.0,23.88
0.0,0.0,135.0,26.47
0.0,0.0,173.0,29.08
0.0,0.0,176.0,29.64
0.0,0.0,177.0,29.54
0.0,0.0,175.0,29.37
0.0,0.0,174.0,28.49
0.0,0.0,171.0,27.7
0.0,0.0,175.0,26.26
0.0,0.0,175.0,25.03
0.0,0.0,176.0,25.41
0.0,0.0,175.0,25.04
0.0,0.0,175.0,24.24
0.0,0.0,175.0,24.36
0.0,0.0,175.0,23.73
0.0,0.0,175.0,23.72
0.0,0.0,135.0,28.53
0.0,0.0,135.0,27.2
0.0,0.0,137.0,25.75
0.0,0.0,138.0,25.51
0.0,0.0,139.0,25.04
0.0,0.0,140.0,24.89
0.0,0.0,139.0,25.18
0.0,0.0,140.0,25.26
0.0,0.0,139.0,25.46
0.0,0.0,139.0,26.0
0.0,0.0,139.0,26.37
0.0,0.0,138.0,26.26
0.0,0.0,138.0,26.37
0.0,0.0,138.0,26.62
0.0,0.0,138.0,26.63
0.0,0.0,138.0,26.79
0.0,0.0,138.0,27.11
0.0,0.0,138.0,27.47
0.0,0.0,138.0,27.53
0.0,0.0,138.0,27.85
0.0,0.0,137.0,27.6
0.0,0.0,136.0,27.68
0.0,0.0,136.0,27.47
0.0,0.0,136.0,27.77
0.0,0.0,135.0,27.68
0.0,0.0,135.0,27.81
0.0,0.0,136.0,27.51
0.0,0.0,136.0,27.57
0.0,0.0,136.0,27.22
0.0,0.0,136.0,27.31
0.0,0.0,136.0,27.48
0.0,0.0,136.0,27.77
0.0,0.0,136.0,27.65
0.0,0.0,133.0,28.02
0.0,0.0,133.0,23.28
0.0,0.0,136.0,23.5
0.0,0.0,137.0,23.73
0.0,0.0,137.0,23.82
0.0,0.0,137.0,23.27
0.0,0.0,138.0,22.97
0.0,0.0,137.0,22.65
0.0,0.0,138.0,22.76
0.0,0.0,138.0,22.18
0.0,0.0,138.0,22.24
0.0,0.0,137.0,22.18
0.0,0.0,137.0,22.23
0.0,0.0,136.0,22.38
0.0,0.0,136.0,22.17
0.0,0.0,137.0,22.13
0.0,0.0,137.0,22.21
0.0,0.0,137.0,22.12
0.0,0.0,136.0,22.23
0.0,0.0,136.0,22.13
0.0,0.0,136.0,22.06
0.0,0.0,137.0,21.79
0.0,0.0,138.0,20.6
0.0,0.0,137.0,19.26
0.0,0.0,138.0,17.83
0.0,0.0,135.0,16.08
0.0,0.0,166.0,16.57
0.0,0.0,24.0,20.66
0.0,0.0,3.0,21.43
0.0,0.0,345.0,26.12
0.0,0.0,235.0,29.21
0.0,0.0,234.0,27.44
0.0,0.0,233.0,25.56
0.0,0.0,235.0,26.2
0.0,0.0,326.0,17.2
0.0,0.0,257.0,19.59
0.0,0.0,270.0,25.64
0.0,0.0,269.0,22.55
0.0,0.0,269.0,20.16
0.0,0.0,269.0,18.97
0.0,0.0,262.0,20.32
0.0,0.0,247.0,28.01
17.595448,78.124802,92.0,16.54
17.595465,78.124847,93.0,23.8
17.595465,78.124847,94.0,25.83
17.595467,78.124847,93.0,27.08
17.595467,78.124847,93.0,28.43
17.595467,78.124847,93.0,29.58
17.595467,78.124847,94.0,26.66
17.595467,78.124847,94.0,27.94
17.595469,78.124847,94.0,27.33
17.595469,78.124847,94.0,27.23
17.59519,78.124825,258.0,25.69
17.595188,78.124817,262.0,19.66
17.595196,78.124779,256.0,29.5
17.595196,78.124779,256.0,29.08
17.595196,78.124779,257.0,28.47
17.595196,78.124779,256.0,28.93
17.595196,78.124779,256.0,27.75
17.595196,78.124779,256.0,27.55
17.595198,78.124779,257.0,27.68
17.595198,78.124779,257.0,27.17
17.595051,78.124825,179.0,28.24
17.595051,78.124825,181.0,27.04
17.595051,78.124825,181.0,26.63
17.595051,78.124825,182.0,26.62
17.595116,78.12429,351.0,20.18
17.595152,78.124321,351.0,23.88
17.595152,78.124321,351.0,23.48
17.595156,78.124321,351.0,23.95
17.595156,78.124321,351.0,23.51
17.595158,78.124329,352.0,23.42
17.595158,78.124329,354.0,25.36
17.595064,78.124329,36.0,22.12
17.595015,78.124313,182.0,29.45
17.595009,78.124306,182.0,25.86
17.595009,78.124306,183.0,26.3
17.595009,78.124306,183.0,25.39
17.595005,78.124298,182.0,25.87
17.595005,78.124298,181.0,27.47
17.595079,78.123978,259.0,18.43
17.595076,78.123924,257.0,15.76
17.595076,78.123924,256.0,15.54
17.595074,78.123917,257.0,16.08
17.595074,78.123917,257.0,16.26
17.595074,78.123917,257.0,17.85
17.59507,78.123909,257.0,18.71
17.59507,78.123909,256.0,19.34
17.59622,78.123917,346.0,28.48
17.596228,78.123917,349.0,24.11
17.596233,78.123924,348.0,22.15
17.596233,78.123924,348.0,21.64
17.595608,78.123741,267.0,29.37
17.595608,78.123741,268.0,28.9
17.595608,78.123741,269.0,27.18
17.595608,78.123741,268.0,26.84
17.595608,78.123741,268.0,25.41
17.595608,78.123741,269.0,25.62
17.596132,78.123802,356.0,20.47
17.596132,78.123802,358.0,18.66
17.596151,78.12381,357.0,29.67
17.596157,78.123817,1.0,29.54
17.596157,78.123817,1.0,18.07
17.596157,78.123817,2.0,17.94
17.596136,78.123695,176.0,23.56
17.596136,78.123695,176.0,21.49
17.59614,78.123718,177.0,16.63
17.59614,78.123718,177.0,16.63
17.596128,78.123726,177.0,20.64
17.596128,78.123726,186.0,26.13
17.596148,78.123695,353.0,17.69
17.596148,78.123695,356.0,15.84
17.596148,78.123695,357.0,17.26
17.596148,78.123695,357.0,17.86
17.596149,78.123688,357.0,19.03
17.596149,78.123688,357.0,19.01
17.596148,78.123688,355.0,20.35
17.596148,78.123688,354.0,23.25
17.596081,78.123413,176.0,27.68
17.596081,78.123413,177.0,21.56
17.596079,78.123421,179.0,17.48
17.596079,78.123421,179.0,18.53
17.596079,78.123421,180.0,18.61
17.596079,78.123421,179.0,19.05
17.596155,78.123436,359.0,27.0
17.596153,78.123428,0.0,24.39
17.596153,78.123428,0.0,23.48
17.596153,78.123428,1.0,22.25
17.596153,78.123428,1.0,22.04
17.596153,78.123421,0.0,22.24
17.596153,78.123421,359.0,22.71
17.596119,78.123322,275.0,29.61
17.596119,78.123322,276.0,29.32
17.596119,78.123322,276.0,29.43
17.595917,78.123314,183.0,20.79
17.59584,78.123291,191.0,24.69
17.59584,78.123291,192.0,22.21
17.595829,78.123291,192.0,19.7
17.595829,78.123291,192.0,19.75
17.595829,78.123291,193.0,18.15
17.595829,78.123291,192.0,17.95
17.59584,78.123291,221.0,15.98
17.595936,78.122711,288.0,22.57
17.595936,78.122711,288.0,20.52
17.595938,78.122711,290.0,20.14
17.595865,78.122597,288.0,19.54
17.595863,78.122597,288.0,15.19
17.595491,78.122658,171.0,21.51
17.595463,78.122665,173.0,29.41
17.595446,78.12265,172.0,26.47
17.595446,78.12265,172.0,26.47
17.595438,78.12265,172.0,26.63
17.595438,78.12265,173.0,27.2
17.595425,78.122726,252.0,28.66
17.595425,78.122726,253.0,22.12
17.595425,78.122726,253.0,21.65
17.59503,78.122719,255.0,28.64
17.59503,78.122719,255.0,25.92
17.595028,78.122719,253.0,20.34
17.595028,78.122719,253.0,19.62
17.595026,78.122719,254.0,26.03
17.594803,78.122749,282.0,23.72
17.594803,78.122749,282.0,23.16
17.594801,78.122749,283.0,22.63
17.594801,78.122749,283.0,22.71
17.594805,78.122757,282.0,23.93
17.594805,78.122757,282.0,26.24
17.594704,78.122787,193.0,28.7
17.594704,78.122787,194.0,26.88
17.5947,78.12278,194.0,22.68
17.5947,78.12278,194.0,22.79
17.594746,78.122887,109.0,22.74
17.594738,78.122902,105.0,25.19
17.594738,78.122902,105.0,22.79
17.594738,78.122894,104.0,18.91
17.594738,78.122894,104.0,18.36
17.594738,78.122894,103.0,16.89
17.594738,78.122894,104.0,17.3
17.594513,78.122841,108.0,18.62
17.594503,78.122826,108.0,15.82
17.594503,78.122826,108.0,15.5
17.5945,78.122818,113.0,19.45
17.5945,78.122818,129.0,23.89
17.594494,78.122719,269.0,22.28
17.594494,78.122719,269.0,21.21
17.594494,78.122719,271.0,21.77
17.594494,78.122719,270.0,21.95
17.594309,78.122841,253.0,15.78
17.594294,78.122856,181.0,18.99
17.594296,78.122856,180.0,17.86
17.594296,78.122856,181.0,18.41
17.594296,78.122856,180.0,19.93
17.594296,78.122856,179.0,19.38
17.594296,78.122856,179.0,23.77
17.594296,78.122856,179.0,18.82
17.594296,78.122856,179.0,19.09
17.594296,78.122856,179.0,18.66
17.594299,78.122864,187.0,21.69
17.59483,78.12278,0.0,29.52
17.59483,78.12278,2.0,29.28
17.594831,78.122772,3.0,28.52
17.594831,78.122772,3.0,28.23
17.594831,78.122772,4.0,27.35
17.594831,78.122772,4.0,27.29
17.594816,78.123047,179.0,19.05
17.594812,78.123047,178.0,23.59
17.594812,78.123047,178.0,22.24
17.594795,78.123047,177.0,18.99
17.594795,78.123047,177.0,18.83
17.594791,78.123047,172.0,24.56
17.594791,78.123047,168.0,27.99
17.594845,78.123016,4.0,27.38
17.594845,78.123016,4.0,27.14
17.594845,78.123016,4.0,26.29
17.594845,78.123016,4.0,27.3
17.594805,78.123253,181.0,20.89
17.594749,78.123253,177.0,29.42
17.594742,78.123253,176.0,22.16
17.594742,78.123253,176.0,21.77
17.594742,78.123253,176.0,21.14
17.594742,78.123253,177.0,22.03
17.594906,78.123322,0.0,27.68
17.594906,78.123322,0.0,27.42
17.594929,78.123322,3.0,26.03
17.595049,78.123848,178.0,26.61
17.595058,78.123863,178.0,19.05
17.595039,78.123856,175.0,25.57
17.595039,78.123856,175.0,24.36
17.595024,78.123848,176.0,23.72
17.595024,78.123848,176.0,23.71
17.595121,78.12384,355.0,22.97
17.595129,78.123833,355.0,27.5
17.594969,78.12397,94.0,20.56
17.594969,78.12397,95.0,19.28
17.594969,78.12397,95.0,17.98
17.594969,78.12397,96.0,18.03
17.594322,78.123817,268.0,17.06
17.594315,78.12381,271.0,23.32
17.594315,78.12381,271.0,23.65
17.594311,78.12381,272.0,21.71
17.594267,78.123856,98.0,29.98
17.594267,78.123856,99.0,29.57
17.594265,78.123856,99.0,29.45
17.594265,78.123856,99.0,29.46
17.594263,78.123848,99.0,29.4
17.59391,78.123863,269.0,25.32
17.59391,78.123863,268.0,23.52
17.59391,78.123848,269.0,19.79
17.59391,78.123848,268.0,21.38
17.593924,78.123932,100.0,22.12
17.593924,78.123932,100.0,19.59
17.593924,78.123932,100.0,20.35
17.593924,78.123932,99.0,24.22
17.592932,78.123901,183.0,17.21
17.592886,78.123886,186.0,15.15
17.59288,78.123886,184.0,19.41
17.592867,78.123871,184.0,21.77
17.592867,78.123871,184.0,22.21
17.592867,78.123871,183.0,22.7
17.592867,78.123871,184.0,23.13
17.59285,78.123848,185.0,22.62
17.593248,78.123169,357.0,28.91
17.59325,78.123169,358.0,23.96
17.59325,78.123169,358.0,23.76
17.593254,78.123169,359.0,24.89
17.593508,78.123611,113.0,24.19
17.593508,78.123611,111.0,24.9
17.593508,78.123611,111.0,25.02
17.593508,78.123611,111.0,25.16
17.593685,78.123604,349.0,24.81
17.593685,78.123604,348.0,23.84
17.593689,78.123611,346.0,18.37
17.593689,78.123611,346.0,18.12
17.593506,78.124001,90.0,21.1
17.593506,78.124001,90.0,18.53
17.593502,78.124008,92.0,18.27
17.593502,78.124008,92.0,17.64
17.5935,78.124001,93.0,17.86
17.5935,78.124001,93.0,18.57
17.593725,78.123215,256.0,24.58
17.593725,78.123199,253.0,16.49
17.5937,78.123146,238.0,26.54
17.5937,78.123146,238.0,25.36
17.593695,78.123138,238.0,26.66
17.593695,78.123138,239.0,28.45
17.594269,78.122948,354.0,24.67
17.594269,78.122948,354.0,24.61
17.594269,78.122948,354.0,19.6
17.594276,78.122955,355.0,25.07
17.594276,78.122955,354.0,24.18
17.594191,78.123238,182.0,28.41
17.594191,78.123238,183.0,22.32
17.594191,78.123238,183.0,22.15
17.594191,78.123238,183.0,20.72
17.594191,78.123238,183.0,21.32
17.594248,78.123238,357.0,27.59
17.594252,78.123238,358.0,20.21
17.594257,78.123238,356.0,19.75
17.594257,78.123238,355.0,27.85
17.594265,78.123924,94.0,20.05
17.594259,78.12394,96.0,18.61
17.594852,78.12278,270.0,23.35
17.594852,78.122765,277.0,15.93
17.594851,78.122742,279.0,27.59
17.594851,78.122742,280.0,24.94
17.594852,78.122734,282.0,22.84
17.594852,78.122734,282.0,28.81
17.595362,78.122612,350.0,29.49
17.595362,78.122612,350.0,28.52
17.595356,78.122604,351.0,26.88
17.595356,78.122604,350.0,27.07
17.59511,78.123306,74.0,28.87
17.59511,78.123306,75.0,28.39
17.59511,78.123306,77.0,28.95
17.595367,78.123825,90.0,17.21
17.595367,78.123863,100.0,27.86
17.595367,78.123863,99.0,22.29
17.595367,78.123863,100.0,22.17
17.595367,78.123863,101.0,21.39
17.595367,78.123863,102.0,23.84
17.596233,78.123947,348.0,19.37
17.596233,78.123947,348.0,17.86
17.596245,78.123955,348.0,23.08
17.596245,78.123955,348.0,24.23
17.596245,78.123955,348.0,20.35
17.596245,78.123955,347.0,22.46
17.59618,78.124413,257.0,26.28
17.59618,78.124413,252.0,19.84
17.59618,78.124413,236.0,23.59
17.59618,78.124413,250.0,28.08
17.59618,78.124413,210.0,27.68
17.59618,78.124413,188.0,26.41
17.59618,78.124413,115.0,26.2
17.59618,78.124413,114.0,24.02
17.59618,78.124413,120.0,23.71
17.59618,78.124413,124.0,23.88
17.59618,78.124413,130.0,29.13
17.59618,78.124413,1.0,25.03
17.59618,78.124413,51.0,20.81
17.59618,78.124413,97.0,24.9
17.59618,78.124413,97.0,24.11
17.59618,78.124413,97.0,26.46
17.59618,78.124413,98.0,26.38
17.59618,78.124413,96.0,24.99
17.59618,78.124413,95.0,24.69
17.59618,78.124413,95.0,26.0
17.59618,78.124413,95.0,24.99
17.59618,78.124413,95.0,24.69
17.59618,78.124413,96.0,23.63
17.59618,78.124413,95.0,26.43
17.59618,78.124413,95.0,26.9
17.59618,78.124413,94.0,23.81
17.59618,78.124413,88.0,22.38
17.59618,78.124413,81.0,22.54
17.59618,78.124413,80.0,25.16
17.59618,78.124413,81.0,22.05
17.59618,78.124413,81.0,22.26
17.59618,78.124413,82.0,22.04
17.59618,78.124413,82.0,22.05
17.59618,78.124413,81.0,21.99
17.59618,78.124413,82.0,21.99
17.59618,78.124413,82.0,21.99
17.59618,78.124413,82.0,22.2
17.59618,78.124413,83.0,26.67
17.59618,78.124413,82.0,26.71
17.59618,78.124413,81.0,26.77
17.59618,78.124413,81.0,26.73
17.59618,78.124413,81.0,26.67
17.59618,78.124413,81.0,26.66
17.59618,78.124413,81.0,26.71
17.59618,78.124413,81.0,25.86
17.59618,78.124413,81.0,24.58
17.59618,78.124413,81.0,24.59
17.59618,78.124413,81.0,25.01
17.59618,78.124413,81.0,24.85
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.66
17.59618,78.124413,81.0,23.94
17.59618,78.124413,81.0,24.38
17.59618,78.124413,81.0,25.23
17.59618,78.124413,81.0,23.95
17.59618,78.124413,81.0,25.44
17.59618,78.124413,81.0,24.82
17.59618,78.124413,81.0,23.96
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.44
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.87
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.88
17.59618,78.124413,80.0,25.28
17.59618,78.124413,81.0,24.59
17.59618,78.124413,81.0,24.82
17.59618,78.124413,81.0,24.8
17.59618,78.124413,81.0,24.8
17.59618,78.124413,81.0,25.23
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.46
17.59618,78.124413,80.0,25.03
17.59618,78.124413,80.0,25.24
17.59618,78.124413,81.0,25.23
17.59618,78.124413,80.0,25.44
17.59618,78.124413,80.0,25.46
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.29
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,24.87
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.88
17.59618,78.124413,81.0,24.82
17.59618,78.124413,81.0,25.29
17.59618,78.124413,81.0,25.81
17.59618,78.124413,80.0,25.86
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.87
17.59618,78.124413,81.0,25.92
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,22.68
17.59618,78.124413,81.0,22.89
17.59618,78.124413,81.0,25.88
17.59618,78.124413,81.0,25.87
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.03
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.88
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,24.82
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.5
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.87
17.59618,78.124413,81.0,25.46
17.59618,78.124413,80.0,25.45
17.59618,78.124413,81.0,25.44
17.59618,78.124413,80.0,25.24
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.02
17.59618,78.124413,81.0,25.02
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.24
17.59618,78.124413,80.0,25.24
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,24.61
17.59618,78.124413,81.0,23.76
